job,answer
ouvrier tapissier,"bois,liège,meubles"
ouvrier teinturier,industrie textile
ouvrier terrassier,"construction,charpenterie"
ouvrier textile,industrie textile
ouvrier tireur de vin,produits alimentaires
ouvrier tisserand,industrie textile
ouvrier tisserand en frocs,industrie textile
ouvrier tisseur,industrie textile
ouvrier tisseur de toile,industrie textile
ouvrier tondeur,industrie textile
ouvrier tonnelier,"bois,liège,meubles"
ouvrier tourneur,industrie des métaux
ouvrier tourneur en bois,"bois,liège,meubles"
ouvrier tourneur fer,industrie des métaux
ouvrier tourneur sur bois,"bois,liège,meubles"
ouvrier tuilier,pierre et terre
ouvrier typographe,arts graphiques
ouvrier vannier,"bois,liège,meubles"
ouvrier veloutier,industrie textile
ouvrier verrier,pierre et terre
ouvrier vidangeur,"gaz,eau,éléctricité"
ouvrier vigneron,produits alimentaires
ouvrier ville,administration publique
ouvrier vitrier,"construction,charpenterie"
ouvrier voilier,industrie textile
ouvrier zinguer,industrie des métaux
ouvrier zingueur,industrie des métaux
ouvrier à l'alcan,industrie des métaux
ouvrier à l'arsenal,industrie des métaux
ouvrier à l'atelier,industrie textile
ouvrier à l'atelier central,industrie du papier
ouvrier à l'atelier chemin de fer,transports
ouvrier à l'usine,industrie du papier
ouvrier à l'usine de céramique,pierre et terre
ouvrier à l'établissement du gaz,"gaz,eau,éléctricité"
ouvrier à la cff,transports
ouvrier à la fabrique,industrie textile
ouvrier à la fabrique du papier peint,industrie du papier
ouvrier à la filature,industrie textile
ouvrier à la fonderie anglaise,industrie des métaux
ouvrier à la forge,industrie des métaux
ouvrier à la gare,transports
ouvrier à la manufacture,industrie textile
ouvrier à la manufacture d'armes,industrie des métaux
ouvrier à la manufacture d'indienne,industrie textile
ouvrier à la manufacture de tabacs,industrie du papier
ouvrier à la manufacture des tabacs,industrie du papier
ouvrier à la poudrerie nationale,industrie chimique
ouvrier ébéniste,"bois,liège,meubles"
ouvrier électricien,"gaz,eau,éléctricité"
ouvrier étameur,industrie des métaux
ouvrier-menuisier,"construction,charpenterie"
ouvrier-meublier,"bois,liège,meubles"
ouvrier-opérateur,industrie des métaux
ouvrier-sacristain,administration publique
ouvrier-tanneur,industrie chimique
ouvrière,industrie textile
ouvrière agricole,employées pour le ménage et la ferme
ouvrière aux tabacs,industrie du papier
ouvrière blanchisseuse,industrie textile
ouvrière bonnetière,industrie textile
ouvrière corsetier,industrie textile
ouvrière cuisinière,"hôtellerie,restauration"
ouvrière d'usine,industrie textile
ouvrière d'usine en chaussures,industrie textile
ouvrière d'usine spécialisée,industrie textile
ouvrière de blanchisserie,industrie textile
ouvrière de fabrication,industrie textile
ouvrière de fabrication de tabac,industrie du papier
ouvrière de fabrique,industrie textile
ouvrière de filature,industrie textile
ouvrière de manufacture des tabacs,industrie du papier
ouvrière des tabacs,industrie du papier
ouvrière du bâtiment,"construction,charpenterie"
ouvrière en bonneterie,industrie textile
ouvrière en bottines,"vêtements, lingerie,chaussures,literies"
ouvrière en chaussures,"vêtements, lingerie,chaussures,literies"
ouvrière en confection,industrie textile
ouvrière en dentelle,industrie textile
ouvrière en filature,industrie textile
ouvrière en filets,industrie textile
ouvrière en fils,industrie textile
ouvrière en fourrures,industrie textile
ouvrière en laine,industrie textile
ouvrière en ombrelles,industrie textile
ouvrière en parapluie,industrie textile
ouvrière en pelleterie,industrie textile
ouvrière en robes,"vêtements, lingerie,chaussures,literies"
ouvrière en soie,industrie textile
ouvrière en tabacs,industrie du papier
ouvrière en textile,industrie textile
ouvrière en tricot,industrie textile
ouvrière et cultivatrice,employées pour le ménage et la ferme
ouvrière fabrique,industrie textile
ouvrière fromagère,produits alimentaires
ouvrière industrielle,industrie textile
ouvrière jardinière,"journalières,entretien"
ouvrière journalière,"journalières,entretien"
ouvrière lingère,"vêtements, lingerie,chaussures,literies"
ouvrière magasin,commerce de détail
ouvrière modiste,"vêtements, lingerie,chaussures,literies"
ouvrière métallurgiste,industrie des métaux
ouvrière papetière,industrie du papier
ouvrière passementière,industrie textile
ouvrière qualifiée,industrie textile
ouvrière spécialisée,industrie textile
ouvrière tailleuse,"vêtements, lingerie,chaussures,literies"
ouvrière tailleuse pour femme,"vêtements, lingerie,chaussures,literies"
ouvrière textile,industrie textile
ouvrière tisserande,industrie textile
ouvrière tisseuse,industrie textile
ouvrière typographe,arts graphiques
oxycoupeur,industrie des métaux
pailleux,"journaliers,entretien"
paillolier,industrie textile
pain d’épicier,produits alimentaires
pain d’épicière,commerce de détail
pain-d’épicier,produits alimentaires
pain-d’épicière,produits alimentaires
palefrenier,"employés pour tous,célibataires"
palefrenier-gardien,"employés pour tous,célibataires"
palfrenier,"employés pour tous,célibataires"
palfrenier au dépôt d'étalons,employées pour le ménage et la ferme
palfrenier en retraite,"employés pour tous,célibataires"
palfrenier militaire,transports
palfrenier retraité,"employés pour tous,célibataires"
paludier,pierre et terre
paludière,industrie textile
paléoartiste,arts graphiques
paléobotaniste,"agences,locations,consultations"
panachier,"bois,liège,meubles"
pancossier,industrie du papier
panetier,produits alimentaires
panneleur,réparations
pantouflier,"vêtements, lingerie,chaussures,literies"
paonier,industrie textile
papetier,industrie du papier
papetière,industrie du papier
paqueresse,employées pour le ménage et la ferme
paquetier,transports
paqueur,transports
paraisonnier,industrie textile
paraisonnière,industrie textile
parasolier,industrie textile
parcheminier,industrie du papier
parcheminière,industrie du papier
pareur,réparations
pareur de couvertures,industrie textile
pareur de draps,industrie textile
pareuse,industrie textile
parfaiseur,réparations
parfumeur,industrie chimique
parfumeur distillateur,industrie chimique
parlementaire,administration publique
parqueteur,"construction,charpenterie"
parqueur,transports
parqueuse,transports
particulier,"agences,locations,consultations"
particuliere,"agences,locations,consultations"
particulière,employées pour le ménage et la ferme
passementier,industrie textile
passementière,industrie textile
pastellier,arts graphiques
pasteur,employées pour le ménage et la ferme
pasteur de brebis,vachers célibataires
pasteur de bêtes,vachers célibataires
pasteur de bêtes à laine,vachers célibataires
pasteur du culte réformé,administration publique
pasteur et propriétaire,"agences,locations,consultations"
pasteur évangélique,administration publique
pastilleuse,industrie chimique
patachier,
patenostrier  faiseurs de bouclettes à souliers et de noyau à robes,"vêtements, lingerie,chaussures,literies"
patenôtrier de boucles,"bijouterie,gravure,frappe"
patenôtrier de corail,"bijouterie,gravure,frappe"
pati,"hôtellerie,restauration"
patron,"agences,locations,consultations"
patron de bateau,transports
patron de chaloupe,transports
patron de pêche,commerce de gros
patron de vedette,transports
patron marinier,transports
patron pêcheur,commerce de détail
patron sur le fleuve,transports
patron sur le rhône,transports
patronnier,industrie textile
patronnier en chaussures,"vêtements, lingerie,chaussures,literies"
patronnier-gradeur,industrie textile
patronnière-gradeuse,industrie textile
patrouilleur,administration publique
patère,"bijouterie,gravure,frappe"
paumier,industrie du papier
paveur,"construction,charpenterie"
paveuse,"construction,charpenterie"
pavillonneur,"construction,charpenterie"
paysagiste,"construction,charpenterie"
paysan,employées pour le ménage et la ferme
paysanne,employées pour le ménage et la ferme
pdg,"agences,locations,consultations"
pdg de société,"agences,locations,consultations"
peaussier,industrie des métaux
peaussière,industrie du papier
peigneur,industrie textile
peigneur de boucles de soie,industrie textile
peigneur de bourre de soie,industrie textile
peigneur de chanvre,industrie textile
peigneur de laine,industrie textile
peigneur de lin,industrie textile
peigneur de soie,industrie textile
peigneuse,industrie textile
peigneuse de laine,industrie textile
peignier,industrie textile
peintre,arts graphiques
peintre artisan,arts graphiques
peintre artiste,arts graphiques
peintre au pistolet,arts graphiques
peintre carrossier,arts graphiques
peintre d'équipages,arts graphiques
peintre de decors,arts graphiques
peintre de lettres,arts graphiques
peintre dessinateur,arts graphiques
peintre décorateur,arts graphiques
peintre en automobiles,arts graphiques
peintre en bâtiment,"construction,charpenterie"
peintre en bâtiment brigadier des douanes en retraite,arts graphiques
peintre en bâtiments,"construction,charpenterie"
peintre en carrosserie,industrie des métaux
peintre en lettres,arts graphiques
peintre en lettres decorateur,arts graphiques
peintre en meubles,"bois,liège,meubles"
peintre en porcelaine,arts graphiques
peintre en selle,arts graphiques
peintre en voitures,industrie des métaux
peintre et coutelier,
peintre et vitrier,"construction,charpenterie"
peintre plâtrier,"construction,charpenterie"
peintre retraité,arts graphiques
peintre sur faïence,arts graphiques
peintre sur porcelaine,arts graphiques
peintre sur verre,arts graphiques
peintre tapissier,arts graphiques
peintre verrier,arts graphiques
peintre ville d'alger,arts graphiques
peintre vitrier,arts graphiques
peintre à l'arsenal,industrie chimique
peintre à l'office hlm,administration publique
peintre-débosseur,arts graphiques
peintre-décorateur,arts graphiques
peintre-ouvrier,arts graphiques
peintre-plastreur,"construction,charpenterie"
peintresse,arts graphiques
peleur,industrie du papier
pelletat,pierre et terre
pelleteur,industrie du papier
pelletier,industrie du papier
pelletière,industrie du papier
pelliculeur,industrie du papier
pelliculeuse,industrie du papier
pelotonneuse,réparations
pendulier,horlogerie
pendulière,horlogerie
pensionnaire,"employés pour tous,célibataires"
pensionnaire de l'état,administration publique
pensionnaire des douanes,administration publique
pensionnaire militaire,administration publique
pensionnaire municipal,administration publique
pensionné,administration publique
pensionné agriculteur,administration publique
pensionné d'invalidité,administration publique
pensionné d'état,administration publique
pensionné de guerre,administration publique
pensionné de l'etat,administration publique
pensionné de l'hospice,administration publique
